TGL Business Subsegment,Anon Period,Revenue_Predicted
SSI0278210,44,3439360.25
SSI0278210,45,3540423.75
SSI0278210,46,3507968.5
SSI0278210,47,3486382.0
SSI0278210,48,3415569.25
SSI0278212,43,2036337.75
SSI0278212,44,1948949.875
SSI0278212,45,1959677.125
SSI0278212,46,1879205.5
SSI0278212,47,1919463.75
SSI0278212,48,1847439.75
SSI0278214,43,44900.984375
SSI0278214,44,47114.78125
SSI0278214,45,45349.8125
SSI0278214,46,43440.109375
SSI0278214,47,46649.859375
SSI0278214,48,48303.015625
SSI0278216,43,-1004.019775390625
SSI0278216,44,-998.8182373046875
SSI0278216,45,-920.3299560546875
SSI0278216,46,-857.387939453125
SSI0278216,47,-878.4735107421875
SSI0278216,48,-816.3096923828125
SSI0278291,43,587363.0
SSI0278291,44,562311.75
SSI0278291,45,553297.5625
SSI0278291,46,563556.9375
SSI0278291,47,549623.0625
SSI0278291,48,538787.0
SSI02784,43,27194.42578125
SSI02784,44,26685.119140625
SSI02784,45,27004.6953125
SSI02784,46,26390.6171875
SSI02784,47,26256.669921875
SSI02784,48,25411.71875
SSI0278402,43,22558850.0
SSI0278402,44,23374914.0
SSI0278402,45,24897364.0
SSI0278402,46,21960344.0
SSI0278402,47,22083936.0
SSI0278402,48,23383602.0
SSI0278404,43,25882980.0
SSI0278404,44,26153122.0
SSI0278404,45,27978418.0
SSI0278404,46,25291214.0
SSI0278404,47,27185904.0
SSI0278404,48,28978266.0
SSI0278406,43,10293144.0
SSI0278406,44,10422470.0
SSI0278406,45,12517927.0
SSI0278406,46,10599343.0
SSI0278406,47,10636150.0
SSI0278406,48,12614146.0
SSI0278408,43,62785392.0
SSI0278408,44,67671000.0
SSI0278408,45,75827688.0
SSI0278408,46,63335556.0
SSI0278408,47,68021648.0
SSI0278408,48,92511584.0
SSI0278410,43,13839598.0
SSI0278410,44,13527433.0
SSI0278410,45,13815149.0
SSI0278410,46,13763281.0
SSI0278410,47,13953541.0
SSI0278410,48,14016960.0
SSI0278412,43,866132.625
SSI0278412,44,875010.875
SSI0278412,45,1084471.875
SSI0278412,46,869553.6875
SSI0278412,47,1005072.375
SSI0278412,48,1357642.25
SSI0278414,43,343231.125
SSI0278414,44,333101.0625
SSI0278414,45,303578.25
SSI0278414,46,292881.3125
SSI0278414,47,331408.1875
SSI0278414,48,319669.0
SSI0278416,43,1548897.625
SSI0278416,44,1620817.5
SSI0278416,45,1668548.5
SSI0278416,46,1548192.625
SSI0278416,47,1547672.0
SSI0278416,48,1672017.125
SSI0278418,43,34690.65625
SSI0278418,44,32753.541015625
SSI0278418,45,30820.12109375
SSI0278418,46,29227.423828125
SSI0278418,47,27391.94140625
SSI0278418,48,26397.173828125
SSI0278420,43,74834064.0
SSI0278420,44,77193712.0
SSI0278420,45,79620792.0
SSI0278420,46,75127296.0
SSI0278420,47,76539896.0
SSI0278420,48,80629408.0
SSI0278422,43,30507498.0
SSI0278422,44,31244772.0
SSI0278422,45,36048812.0
SSI0278422,46,30048542.0
SSI0278422,47,31211722.0
SSI0278422,48,35602392.0
SSI0278424,43,10845330.0
SSI0278424,44,11024514.0
SSI0278424,45,11318477.0
SSI0278424,46,11290789.0
SSI0278424,47,11515328.0
SSI0278424,48,12033322.0
SSI0278426,43,24566514.0
SSI0278426,44,24673956.0
SSI0278426,45,24796244.0
SSI0278426,46,24739130.0
SSI0278426,47,25021672.0
SSI0278426,48,24929146.0
SSI0278428,43,73588072.0
SSI0278428,44,79229032.0
SSI0278428,45,92300720.0
SSI0278428,46,76191072.0
SSI0278428,47,81881720.0
SSI0278428,48,111633944.0
SSI0278430,43,18651766.0
SSI0278430,44,19972510.0
SSI0278430,45,20272732.0
SSI0278430,46,20151390.0
SSI0278430,47,21163376.0
SSI0278430,48,24661636.0
SSI0278432,43,2196348.0
SSI0278432,44,2414532.0
SSI0278432,45,2591311.5
SSI0278432,46,2433135.25
SSI0278432,47,2600580.25
SSI0278432,48,3084150.0
SSI0278434,43,500368.3125
SSI0278434,44,496746.40625
SSI0278434,45,497194.28125
SSI0278434,46,495421.9375
SSI0278434,47,492700.15625
SSI0278434,48,494867.875
SSI0278436,43,1995458.5
SSI0278436,44,1978491.125
SSI0278436,45,2035430.0
SSI0278436,46,2007291.25
SSI0278436,47,1984289.0
SSI0278436,48,1929108.0
SSI0278438,43,1046.48095703125
SSI0278438,44,1044.9073486328125
SSI0278438,45,1003.4313354492188
SSI0278438,46,1016.65283203125
SSI0278438,47,987.137939453125
SSI0278438,48,1007.8062133789062
SSI0278440,43,16719308.0
SSI0278440,44,17686594.0
SSI0278440,45,19494888.0
SSI0278440,46,16985392.0
SSI0278440,47,17706186.0
SSI0278440,48,19598560.0
SSI0278442,43,11748568.0
SSI0278442,44,11866880.0
SSI0278442,45,11986376.0
SSI0278442,46,12102001.0
SSI0278442,47,12162615.0
SSI0278442,48,12290803.0
SSI0278444,43,1622795.625
SSI0278444,44,1588382.75
SSI0278444,45,1562787.0
SSI0278444,46,1539484.875
SSI0278444,47,1676106.625
SSI0278444,48,1760347.25
SSI0278446,43,24255504.0
SSI0278446,44,25920740.0
SSI0278446,45,30289064.0
SSI0278446,46,24311732.0
SSI0278446,47,28377920.0
SSI0278446,48,37523032.0
SSI0278448,43,3971800.75
SSI0278448,44,4091186.5
SSI0278448,45,4449910.5
SSI0278448,46,3991653.5
SSI0278448,47,4506787.5
SSI0278448,48,5551485.5
SSI0278450,43,359774.25
SSI0278450,44,360767.25
SSI0278450,45,361255.90625
SSI0278450,46,364247.8125
SSI0278450,47,366132.3125
SSI0278450,48,367349.90625
SSI0278452,43,8398694.0
SSI0278452,44,8602815.0
SSI0278452,45,8864594.0
SSI0278452,46,8699594.0
SSI0278452,47,8719203.0
SSI0278452,48,8838233.0
SSI0278454,43,111306.875
SSI0278454,44,108995.7265625
SSI0278454,45,105138.875
SSI0278454,46,107524.3125
SSI0278454,47,103646.59375
SSI0278454,48,102454.875
SSI0278456,43,7451.236328125
SSI0278456,44,7392.341796875
SSI0278456,45,7330.61279296875
SSI0278456,46,7255.833984375
SSI0278456,47,7236.26708984375
SSI0278456,48,7103.26171875
SSI0278458,43,1028191.5
SSI0278458,44,1009224.4375
SSI0278458,45,1635817.25
SSI0278458,46,996983.9375
SSI0278458,47,944630.875
SSI0278458,48,1689346.75
SSI0278460,43,105809.421875
SSI0278460,44,200131.375
SSI0278460,45,561701.125
SSI0278460,46,110581.15625
SSI0278460,47,107743.859375
SSI0278460,48,507916.09375
SSI0278462,43,7695229.0
SSI0278462,44,8956951.0
SSI0278462,45,9201027.0
SSI0278462,46,7701185.5
SSI0278462,47,9140890.0
SSI0278462,48,12457366.0
SSI0278464,43,310337.03125
SSI0278464,44,320517.15625
SSI0278464,45,348786.75
SSI0278464,46,375743.34375
SSI0278464,47,399991.59375
SSI0278464,48,437918.03125
SSI0278466,43,1288736.375
SSI0278466,44,1270189.0
SSI0278466,45,1259610.125
SSI0278466,46,1216503.25
SSI0278466,47,1196228.75
SSI0278466,48,1179123.875
SSI0278491,43,170102.9375
SSI0278491,44,181746.109375
SSI0278491,45,179044.96875
SSI0278491,46,186146.828125
SSI0278491,47,181079.4375
SSI0278491,48,183919.21875
SSI0278602,43,33217098.0
SSI0278602,44,41964376.0
SSI0278602,45,60485708.0
SSI0278602,46,36472288.0
SSI0278602,47,47364432.0
SSI0278602,48,77885072.0
SSI0278604,47,539936.75
SSI0278604,48,539946.8125
SSI0278606,43,763560.0
SSI0278606,44,736172.5
SSI0278606,45,747465.0
SSI0278606,46,766378.5
SSI0278606,47,737842.5
SSI0278606,48,808109.5
SSI0278608,43,2389466.0
SSI0278608,44,2477574.0
SSI0278608,45,2458269.25
SSI0278608,46,2457363.75
SSI0278608,47,2440596.5
SSI0278608,48,2450595.25
SSI0278610,43,489385.15625
SSI0278610,44,491569.78125
SSI0278610,45,484077.84375
SSI0278610,46,448166.0
SSI0278610,47,541144.6875
SSI0278610,48,746341.5625
SSI0278612,43,15579244.0
SSI0278612,44,16014798.0
SSI0278612,45,17472688.0
SSI0278612,46,15977757.0
SSI0278612,47,16350932.0
SSI0278612,48,16785344.0
SSI0278614,43,12950726.0
SSI0278614,44,12915666.0
SSI0278614,45,13037204.0
SSI0278614,46,13205044.0
SSI0278614,47,13310608.0
SSI0278614,48,13486044.0
SSI0278616,43,1918328.125
SSI0278616,44,1947673.25
SSI0278616,45,1950408.75
SSI0278616,46,1951164.25
SSI0278616,47,1947563.125
SSI0278616,48,1941973.375
SSI0278618,43,3595814.25
SSI0278618,44,3539062.25
SSI0278618,45,3545892.0
SSI0278618,46,3576663.75
SSI0278618,47,3651648.5
SSI0278618,48,3567400.5
SSI0278620,43,3915910.75
SSI0278620,44,3864597.5
SSI0278620,45,4695002.0
SSI0278620,46,4222613.0
SSI0278620,47,4707275.0
SSI0278620,48,5020162.5
SSI0278622,43,2085373.125
SSI0278622,44,2204929.75
SSI0278622,45,2340220.5
SSI0278622,46,2325762.75
SSI0278622,47,2352981.75
SSI0278622,48,2565477.25
SSI0278626,43,5925560.0
SSI0278626,44,6115798.0
SSI0278626,45,6095445.0
SSI0278626,46,5907267.0
SSI0278626,47,5802297.5
SSI0278626,48,5742050.0
SSI0278630,43,144.19921875
SSI0278630,44,766.421875
SSI0278630,45,660.517578125
SSI0278630,46,488.5078125
SSI0278630,47,1100.5087890625
SSI0278630,48,818.7333984375
SSI0278691,43,253.01123046875
SSI0278691,44,625.84033203125
SSI0278691,45,697.6611328125
SSI0278691,46,477.7490234375
SSI0278691,47,786.181640625
SSI0278691,48,557.328125
SSI02792,43,-0.22461891174316406
SSI02792,44,-0.2848930358886719
SSI02792,45,-0.24767613410949707
SSI02792,46,-0.07614302635192871
SSI02792,47,-0.14045000076293945
SSI02792,48,-0.2333996295928955
SSI02793,43,80564.625
SSI02793,44,85679.359375
SSI02793,45,81187.90625
SSI02793,46,79646.9375
SSI02793,47,74930.390625
SSI02793,48,77369.5390625
SSI02799,43,-839731.125
SSI02799,44,-833880.3125
SSI02799,45,-838430.1875
SSI02799,46,-851300.625
SSI02799,47,-824779.0
SSI02799,48,-839729.0
SSI0378115,43,46809868.0
SSI0378115,44,50522392.0
SSI0378115,45,61830376.0
SSI0378115,46,52592524.0
SSI0378115,47,59863872.0
SSI0378115,48,71423376.0
SSI0378125,43,12946466.0
SSI0378125,44,12989999.0
SSI0378125,45,13006582.0
SSI0378125,46,13059327.0
SSI0378125,47,13083717.0
SSI0378125,48,13142392.0
SSI0378135,43,17150798.0
SSI0378135,44,18112658.0
SSI0378135,45,18324144.0
SSI0378135,46,18106260.0
SSI0378135,47,18153130.0
SSI0378135,48,17999832.0
SSI0378140,43,13210496.0
SSI0378140,44,13514970.0
SSI0378140,45,13525060.0
SSI0378140,46,12926889.0
SSI0378140,47,12853979.0
SSI0378140,48,13011918.0
SSI0378145,43,23450532.0
SSI0378145,44,23750486.0
SSI0378145,45,23361776.0
SSI0378145,46,23603294.0
SSI0378145,47,23336302.0
SSI0378145,48,23644922.0
SSI0378150,43,25463070.0
SSI0378150,44,28624578.0
SSI0378150,45,34410112.0
SSI0378150,46,26960164.0
SSI0378150,47,28865426.0
SSI0378150,48,35682680.0
SSI0378170,43,64863212.0
SSI0378170,44,65831180.0
SSI0378170,45,66764164.0
SSI0378170,46,65518808.0
SSI0378170,47,66631576.0
SSI0378170,48,68916912.0
SSI0378180,43,76924560.0
SSI0378180,44,80859448.0
SSI0378180,45,80548984.0
SSI0378180,46,81155984.0
SSI0378180,47,82540128.0
SSI0378180,48,83299088.0
SSI0378185,43,49062740.0
SSI0378185,44,50389932.0
SSI0378185,45,50270468.0
SSI0378185,46,50301564.0
SSI0378185,47,49565084.0
SSI0378185,48,49761952.0
SSI0378199,43,2097515.5
SSI0378199,44,2062637.75
SSI0378199,45,2042490.75
SSI0378199,46,2033637.25
SSI0378199,47,2006342.875
SSI0378199,48,1998960.5
SSI0378210,43,72062352.0
SSI0378210,44,81585296.0
SSI0378210,45,116139968.0
SSI0378210,46,75550024.0
SSI0378210,47,93669832.0
SSI0378210,48,128659040.0
SSI0378215,43,6060009.5
SSI0378215,44,6008741.0
SSI0378215,45,5961675.0
SSI0378215,46,6089697.5
SSI0378215,47,5900876.5
SSI0378215,48,5794832.0
SSI0378218,43,33447196.0
SSI0378218,44,33709796.0
SSI0378218,45,33089828.0
SSI0378218,46,33300808.0
SSI0378218,47,33809336.0
SSI0378218,48,35318336.0
SSI0378220,43,4749118.0
SSI0378220,44,5606198.5
SSI0378220,45,8267393.5
SSI0378220,46,4240392.5
SSI0378220,47,6531643.0
SSI0378220,48,7650130.0
SSI0378230,43,27304598.0
SSI0378230,44,29356200.0
SSI0378230,45,30633052.0
SSI0378230,46,30524710.0
SSI0378230,47,32663600.0
SSI0378230,48,32109040.0
SSI0378240,43,140477984.0
SSI0378240,44,171550656.0
SSI0378240,45,211926784.0
SSI0378240,46,172642880.0
SSI0378240,47,190370912.0
SSI0378240,48,237771744.0
SSI0378250,43,60196016.0
SSI0378250,44,68396384.0
SSI0378250,45,82775400.0
SSI0378250,46,64825800.0
SSI0378250,47,74598224.0
SSI0378250,48,87384480.0
SSI0378260,43,35012716.0
SSI0378260,44,38235156.0
SSI0378260,45,44343884.0
SSI0378260,46,35507000.0
SSI0378260,47,36966072.0
SSI0378260,48,44162216.0
SSI0378270,43,157860432.0
SSI0378270,44,176026592.0
SSI0378270,45,215001440.0
SSI0378270,46,174135264.0
SSI0378270,47,192334144.0
SSI0378270,48,256149296.0
SSI0378280,43,192168608.0
SSI0378280,44,213585696.0
SSI0378280,45,222886112.0
SSI0378280,46,207942512.0
SSI0378280,47,216414512.0
SSI0378280,48,234828928.0
SSI0378285,43,170673376.0
SSI0378285,44,175402688.0
SSI0378285,45,180720544.0
SSI0378285,46,174714432.0
SSI0378285,47,175980992.0
SSI0378285,48,182481360.0
SSI0378287,43,66819372.0
SSI0378287,44,79126496.0
SSI0378287,45,95047184.0
SSI0378287,46,76314728.0
SSI0378287,47,89947192.0
SSI0378287,48,127208840.0
SSI0378289,43,587727.375
SSI0378289,44,603011.1875
SSI0378289,45,597384.375
SSI0378289,46,590450.0625
SSI0378289,47,583433.8125
SSI0378289,48,595078.125
SSI0378290,43,7322401.0
SSI0378290,44,7121652.5
SSI0378290,45,7203920.5
SSI0378290,46,7179184.5
SSI0378290,47,8131083.0
SSI0378290,48,7390520.0
SSI0378299,43,1271888.0
SSI0378299,44,1016272.0
SSI0378299,45,1035292.0
SSI0378299,46,1227420.0
SSI0378299,47,1280444.0
SSI0378299,48,1237744.0
SSI03784,43,47902264.0
SSI03784,44,57441656.0
SSI03784,45,68309280.0
SSI03784,46,58365432.0
SSI03784,47,60419520.0
SSI03784,48,86550480.0
SSI03798,43,1.4874157905353513e-08
SSI03798,44,1.1495414398154935e-08
SSI03798,45,4.0357512887112534e-09
SSI03798,46,1.3706250578948698e-09
SSI03798,47,-6.700539567638941e-10
SSI03798,48,6.038849864609119e-09
SSI03799,43,3349051.0
SSI03799,44,3813857.75
SSI03799,45,8999918.0
SSI03799,46,3819797.25
SSI03799,47,4544354.0
SSI03799,48,10594478.0
SSI04781,43,23900700.0
SSI04781,44,24376144.0
SSI04781,45,22865622.0
SSI04781,46,23384142.0
SSI04781,47,22743556.0
SSI04781,48,23797936.0
SSI0478110,43,302875168.0
SSI0478110,44,309064032.0
SSI0478110,45,304031040.0
SSI0478110,46,300527488.0
SSI0478110,47,281752064.0
SSI0478110,48,287451360.0
SSI0478120,43,1555553.875
SSI0478120,44,1545483.625
SSI0478120,45,1540509.0
SSI0478120,46,1529882.625
SSI0478120,47,1523289.25
SSI0478120,48,1518433.125
SSI0478130,43,166690864.0
SSI0478130,44,169461968.0
SSI0478130,45,167834544.0
SSI0478130,46,166564672.0
SSI0478130,47,163508416.0
SSI0478130,48,167470240.0
SSI0478140,43,180517744.0
SSI0478140,44,181966848.0
SSI0478140,45,182622736.0
SSI0478140,46,181832464.0
SSI0478140,47,181451488.0
SSI0478140,48,180446752.0
SSI0478150,43,388279136.0
SSI0478150,44,401117504.0
SSI0478150,45,391294816.0
SSI0478150,46,387584576.0
SSI0478150,47,381021920.0
SSI0478150,48,379752320.0
SSI0478199,43,662739.0
SSI0478199,44,609541.0
SSI0478199,45,560770.0
SSI0478199,46,590204.0
SSI0478199,47,579482.0
SSI0478199,48,637784.0
SSI0478310,43,279427008.0
SSI0478310,44,284729440.0
SSI0478310,45,287194176.0
SSI0478310,46,287817120.0
SSI0478310,47,295528128.0
SSI0478310,48,297826592.0
SSI0478410,43,8948985.0
SSI0478410,44,8830208.0
SSI0478410,45,8718410.0
SSI0478410,46,8613879.0
SSI0478410,47,8452939.0
SSI0478410,48,8423691.0
SSI0478420,43,7318519.0
SSI0478420,44,7232108.0
SSI0478420,45,7357806.5
SSI0478420,46,7145107.0
SSI0478420,47,7398498.0
SSI0478420,48,7431565.0
SSI04799,43,3180734.5
SSI04799,44,3038113.0
SSI04799,45,6100703.0
SSI04799,46,3210622.75
SSI04799,47,2815879.0
SSI04799,48,7033984.0
SSI07081,43,4.3857864007179614e-09
SSI07081,44,2.372593010946389e-09
SSI07081,45,-2.0213331008989144e-09
SSI07081,46,-1.5560094324129636e-09
SSI07081,47,-1.3015745148337032e-09
SSI07081,48,3.545554294603903e-09
SSI0708110,43,5290577.5
SSI0708110,44,6202474.5
SSI0708110,45,7740106.0
SSI0708110,46,6278339.0
SSI0708110,47,6100611.5
SSI0708110,48,11310714.0
SSI0708120,43,10115065.0
SSI0708120,44,10996016.0
SSI0708120,45,26947672.0
SSI0708120,46,11022246.0
SSI0708120,47,11208218.0
SSI0708120,48,28582036.0
SSI0708140,43,10377536.0
SSI0708140,44,13958725.0
SSI0708140,45,18294108.0
SSI0708140,46,10961192.0
SSI0708140,47,12504784.0
SSI0708140,48,25768864.0
SSI0708150,43,42312.03125
SSI0708150,44,45166.375
SSI0708150,45,47165.96875
SSI0708150,46,36405.8125
SSI0708150,47,25835.09375
SSI0708150,48,59146.34375
SSI0708160,43,1222129.25
SSI0708160,44,1841956.75
SSI0708160,45,4210562.5
SSI0708160,46,948358.25
SSI0708160,47,1193520.0
SSI0708160,48,5850362.0
SSI0708170,43,79752.453125
SSI0708170,44,75898.78125
SSI0708170,45,776933.125
SSI0708170,46,82251.234375
SSI0708170,47,80989.84375
SSI0708170,48,714983.0
SSI0708199,45,281224.28125
SSI0708199,48,286267.75
SSI0708210,43,10132256.0
SSI0708210,44,10055922.0
SSI0708210,45,20623914.0
SSI0708210,46,12492179.0
SSI0708210,47,11396491.0
SSI0708210,48,43316692.0
SSI0708220,43,14300138.0
SSI0708220,44,17346372.0
SSI0708220,45,26809056.0
SSI0708220,46,15436004.0
SSI0708220,47,18631998.0
SSI0708220,48,31026836.0
SSI0708230,43,1676614.75
SSI0708230,44,1577503.75
SSI0708230,45,1853151.75
SSI0708230,46,1648799.5
SSI0708230,47,1629964.5
SSI0708230,48,1760262.125
SSI0708310,43,7055309.5
SSI0708310,44,7804432.5
SSI0708310,45,7914231.0
SSI0708310,46,7507940.0
SSI0708310,47,8114929.0
SSI0708310,48,8578036.0
